Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
Sports,http://learnenglishkids.britishcouncil.org/en/word-games/paint-the-words/sports,Jogo que permite ao aluno relacionar e comparar palavras.,game; vocabulary; sports,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,British Council,,6º ano EF/7º ano EF,54b9788569702d65e2220300
Practice speaking English - Small talk,http://www.eslfast.com/robot/topics/smalltalk/smalltalk.htm,"Diálogos em inglês, divididos em temas, para o desenvolvimento de habilidades de fala. São diálogos e estão disponíveis em áudio e texto, para que os alunos possam desenvolver não só a pronúncia do idioma, mas também a estrutura linguística.",listening; dialogue; reading; small talk,"EF06LI16, EF06LI17, EF06LI04, EF06LI11",Áudio,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,ESL Fast,,6º ano ,54b9788969702d65e2270300
English Way DVD 02,https://www.youtube.com/watch?v=Em6F04pOZsQ,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em Londres, e sua relação com sua anfitriã, Agatha. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 02 os personagens falam de algumas diferenças culturais, emprego e compras. As estruturas analisadas são possessivos, como desculpar-se, dias da semana e pronomes interrogativos. ",video; watching; comprehension,"EF06LI04, EF06LI11, EF06LI17, EF06LI26",video,Lingua inglesa,,,,,,legendas em inglês,Online,,Editora Abril,,,54b979bd69702d65e2760400
Aplicativo - Aprenda verbos em inglês,https://itunes.apple.com/br/app/ingles-verbos-hd-learnbots/id458111168?mt=8,Aplicativo da Apple. Traz animações que ajudam a compreender e memorizar os verbos em inglês.,educational app; verbs,"EF06LI17, EF06LI11, EF07LI15",aplicativo para iPhone e iPad,Lingua inglesa,,,,copyright,,,download,,Apple Inc.,,,54b97d0569702d65e2d60500
Words of Wonder,https://itunes.apple.com/br/app/words-of-wonder/id663996719?mt=8,"Aplicativo da Apple. Oferece ao jogador uma viagem através das páginas e palavras, propondo desafios para recuperar as palavras no meio de uma jornada. Um bom suporte para o aprendizado do idioma inglês. Também é possível jogar no Facebook.",educational app; spelling,"EF06LI17, EF07LI15, EF08LI12",aplicativo para iPhone e iPad. Também disponível no Facebook.,Lingua inglesa,,,,copyright,,,download,,Apple Inc,,,54b97d0869702d65e2dd0500
America’s racial segregation,http://demographics.coopercenter.org/DotMap/index.html,"Mapa baseado em pesquisa de universidade dos Estados Unidos (Duke University ) mostra a segregação racial no país, num esforço bem-sucedido de visualização de dados da Geografia humana. Onde estão mais concentrados negros, africanos, brancos, latinos, asiáticos no país? Uma imagem repleta de dados torna mais clara essa compreensão.",,"EF09LI08, EF07LI10, EF07LI21",,Lingua inglesa,,,,,,Acessível para deficiência intelectual,Online,,,,,54b97d0b69702d65e2e40500
WaterLife – Sea turtles and the quest to nest,http://games.noaa.gov/seaturtle/,"Jogo sobre proteção do habitat das tartarugas marinhas. Um suporte para tratar temas como habitat natural, espécies marinhas e vida marinha. Em inglês, pode ser traduzido automaticamente se acessado pelo Google Chome.",ecossistema/tartarugas,"EF07LI08, EF07LI09, EF07LI07",,Lingua inglesa,,,,,,Acessível para baixa visão,Online,,,,,54b97d0c69702d65e2e70500
How meteor showers work,http://www.space.com/18507-meteor-showers-shooting-stars-infographic.html,"Você sabe como acontece uma chuva de meteoros? Este infográfico se propõe a explicar esse fenômeno natural e espacial, detalhando o que ocorre quando os meteoros ou meteoritos entram na atmosfera da Terra.",,"EF07LI10, EF07LI09, EF07LI06, EF07LI07",,Lingua inglesa,,,,,,Acessível para baixa visão,Online,,,,,54b97d1569702d65e2f60500
The evolution of “Star Trek”,http://www.space.com/12858-star-trek-timeline-science-fiction-infographic.html,A evolução de uma das produções mais icônicas do cinema: Star Trek. Disponibiliza o código embed para o usuário interessado neste infográfico detalhado sobre personagens e principais aspectos do filme que atravessou com suas aventuras no espaço e nas galáxias.,,"EF09LI18, EF09LI11, EF06LI07, EF06LI08, EF06LI09",,Lingua inglesa,,,,,,,Online,,,,,54b97d1d69702d65e2050600
Pollution,https://itunes.apple.com/us/app/pollution/id304218687?mt=8,Apresenta dados de poluição do ar da cidade em que o usuário se encontra por meio de uma base de dados pública e informa sobre os efeitos nocivos dos poluentes.,,"EF07LI10, EF06LI09",,Lingua inglesa,,,,,,,Online,,,,,54b97d1f69702d65e2080600
Going to the supermarket,http://asantos22.podomatic.com/entry/2012-08-29T16_09_08-07_00,"É uma série de podcasts com 14 episódios. Este áudio trabalha a língua inglesa simulando a ida de personagens ao supermercado. Um bom suporte para treinar vocabulário de momentos cotidianos como este, expressões orais do idioma e avaliar a pronúncia da algumas palavras.","contable, uncountable, some, any","EF08LI16, EF08LI14, EF08LI02","audio, podcast",Lingua inglesa,,,,CC BY-NC-ND,,,Online,,Angela dos Santos Araujo,,,54b97d2069702d65e2090600
National Geographic World Atlas,https://itunes.apple.com/us/app/world-atlas-hd/id364733950?mt=8,"Mapas diversos, de diferentes países, continentes e cidades.",app; maps; sciences,"EF06LI17, EF06LI11",aplicativo,Lingua inglesa,,,,,inglês,,Online,,National Geographic,,,54b97d2369702d65e20f0600
Alice’s adventures in Wonderland,http://www.gutenberg.org/ebooks/11,"""Project Gutenberg"" oferece gratuitamente mais de 57.000 ebooks que podem ser lidos online ou baixados em versão PDF ou para kindle. O clássico ""Alice no país das maravilhas"", de Lewis Carroll, traz as aventuras de Alice num mundo fantástico e desconhecido durante sua jornada de volta para casa.",Alice's Adventures in Wonderland; Louis Carroll; English literature; ebooks,"EF08LI06, EF08LI07, EF08LI08",,Lingua inglesa,,,,CC BY-ND + pagamento de royalties,,,Online/Offline (download),,Project Gutenberg,,,54b97d2969702d65e2190600
Christmas maze,http://elt.oup.com/student/i-spy/games/christmas?cc=br&selLanguage=pt,"Jogo. O objetivo do jogo é cruzar um labirinto dentro de um determinado tempo. Ao ouvir o nome de uma palavra relacionada ao Natal, o jogador deve clicar na imagem correspondente e, assim, percorrer seu caminho até o final. O jogador pode já conhecer ou vir a aprender as palavras citadas.",game; Christmas; vocabulary,EF06LI16; EF06LI11; EF06LI18.,jogo,Lingua inglesa,,,,Copyright,,,Online,,Oxford University Press,,,54b97d2a69702d65e21a0600
Commute greener,https://itunes.apple.com/br/app/commute-greener!/id339635647?mt=8,"Oferece rotas mais eficientes, calcula emissões de carbono de indivíduos, estabelece metas de redução das emissões do gás para o usuário.",,"EF07LI10, EF06LI09",,Lingua inglesa,,,,,,Acessível para deficiência visual,Online,,,,,54b97d2c69702d65e21e0600
"Juliana Rotich: Meet BRCK, Internet access built for Africa",http://www.ted.com/talks/juliana_rotich_meet_brck_internet_access_built_for_africa.html,Uma das pesquisadoras responsáveis pelo desenvolvimento do software e da plataforma Ushahidi conta como o recurso impactou as comunidades sem acesso à internet da África.,,"EF09LI02, EF09LI08, EF09LI18, EF08LI03",,Lingua inglesa,,,,,,,Online,,,,,54b97d3569702d65e22c0600
Sputnik: How the world’s 1st artificial satellite worked,http://www.space.com/17888-first-satellite-sputnik-1-explained-infographic.html,"Você sabe como funcionava o Sputnik, o primeiro satélite artificial? Este infográfico se propõe a explicar, fazendo uma viagem pelo espaço que passa por questões da Guerra Fria, envolvendo Rússia e Estados Unidos.",,"EF07LI15, EF07LI10, EF07LI07, EF07LI06",,Lingua inglesa,,,,,,Acessível para baixa visão,Online,,,,,54b97d3b69702d65e2330600
2012: the year in graphics,http://www.google.com/url?q=http://www.nytimes.com/interactive/2012/12/30/multimedia/2012-the-year-in-graphics.html?_r%3D0&sa=D&usg=ALhdy29bmZASBXqawLD5Cgx_bqHwsiRhbQ,"Uma retrospectiva de 2012, sob o olhar do jornal “The New York Times”, em infográficos.",,"EF07LI15, EF07LI10, EF07LI07, EF07LI06",,Lingua inglesa,,,,,,,Online,,,,,54b97d3c69702d65e2350600
A history of animals in space,http://www.space.com/20648-animals-in-space-history-infographic.html?cmpid=518257,"Desde o século XVII, animais têm sido usados para testes no espaço. Saiba como têm sido essas experiências.",,"EF07LI15, EF07LI10, EF07LI07, EF07LI06",,Lingua inglesa,,,,,,Acessível para deficiência visual,Online,,,,,54b97d4169702d65e23e0600
"Democracy in America, vol 1",http://www.gutenberg.org/files/815/815-h/815-h.htm,"""Project Gutenberg"" oferece gratuitamente mais de 57.000 ebooks que podem ser lidos online ou baixados em versão PDF ou para kindle. ""Democracy in America"" é um dos livros mais importantes sobre esse sistema. Escrito por Alexis de Tocqueville e publicado ainda no século XIX.",ebook; reading; democracy; America; 19th century; history,"EF08LI06, EF08LI07, EF08LI08",,Lingua inglesa,,,,Livre para uso e/ou compartilhamento,inglês,,Online,,,,,54b97d4269702d65e2400600
Babel rising 3D,https://play.google.com/store/apps/details?id=com.mando.babelrising3dfreemium&hl=pt_BR,"O jogador tem como missão impedir a construção da Torre de Babel, e apenas usando a força da natureza ele poderá fazer isso neste jogo-aplicativo.",,"EF06LI11, EF06LI12, EF06LI21, EF06LI25",,Lingua inglesa,,,,,,,Online,,,,,54b97d4a69702d65e24d0600
English Way - DVD 05,https://www.youtube.com/watch?v=XTxk8uiYh4A,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em Londres, e sua relação com sua anfitriã, Agatha. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 05 traz 3 episódios em que os personagens falam sobre sair com amigos, bares, comida/bebida, compras e planos futuros. Ao final, o vídeo explora como pedir o que gostaria de comer/beber num restaurante, como dizer as horas, expressar opinião e preferência, fazer comparações, perguntar o preço de algo, o motivo de algo, e falar sobre o que há ou não há em um lugar.",countable/uncountable nouns; what time is it; like/don't like; comparative and superlative of adjectives; why/because; there to be,"EF08LI20, EF08LI16, EF08LI15, EF08LI14",vídeo,Lingua inglesa,,,,,,legendas em inglês,Online,,Editora Abril,,,54b97d4b69702d65e24f0600
Inside the planet Venus,http://www.space.com/64-inside-the-planet-venus-infographic.html,Por dentro do planeta Vênus. Um infográfico que apresenta o segundo planeta mais próximo do Sol.,,"EF08LI13, EF08LI15",,Lingua inglesa,,,,,,Acessível para deficiência auditiva,Online,,,,,54b97d5569702d65e25c0600
American Museum of Natural History,http://www.thirteen.org/programs/treasures-of-new-york/#american-museum-of-natural-history,"Um dos museus mais interessantes do mundo é explorado neste vídeo, que faz parte da série “Tesouros de Nova York”. É narrado em inglês, mas pode ter legendas também em inglês, se ativadas pelo usuário.",,"EF08LI18, EF08LI03",,Lingua inglesa,,,,,,Acessível para deficiência visual,Online,,,,,54b97d5869702d65e25f0600
Prince of Persia,http://prince-of-persia.us.ubi.com/,"Para salvar o reino da aniquilação total, o jogador assume o papel de príncipe que embarca em uma aventura épica de combate e estratégia.",,"EF06LI11, EF06LI12, EF06LI25",,Lingua inglesa,,,,,,,Online,,,,,54b97d5b69702d65e2630600
The survival of the sea turtle,http://ed.ted.com/lessons/the-survival-of-the-sea-turtle,"A jornada de uma tartaruga marinha pelos mares é tema desta animação, que fala da relação homem/mar.",,"EF07LI10, EF07LI04, EF07LI03",,Lingua inglesa,,,,,,Legendas em inglês,Online,,,,,54b97d5d69702d65e2680600
DailyArt – daily dose of fine art,https://itunes.apple.com/br/app/dailyart-daily-dose-fine-art/id547982045?mt=8,Aplicativo apresenta uma obra de arte diferente a cada dia e traz informações históricas sobre ela e o artista.,,"EF08LI07, EF08LI18, EF08LI03",,Lingua inglesa,,,,,,,Online,,,,,54b97d6269702d65e26f0600
Fold it,http://fold.it/portal/,"Desenvolvido por pesquisadores da universidade de Washington, nos EUA, jogo oferece desafios reais aos jogadores, que podem encontrar  soluções para a quebra de proteínas em uma molécula.",,"EF09LI18, EF07LI10,",,Lingua inglesa,,,,,inglês,Acessível para deficiência visual,Offline (download),,,,,54b97d6469702d65e2730600
Manal al-Sharif: Uma mulher saudita que ousou dirigir,http://www.ted.com/talks/manal_al_sharif_a_saudi_woman_who_dared_to_drive.html,"Em palestra do TEDx, cidadã da Arábia Saudita fala sobre uma das “regras” impostas às mulheres. Não é sobre leis, é sobre regras, costumes e moral.",,"EF09LI02, EF09LI08, EF09LI18, EF08LI03",,Lingua inglesa,,,,,inglês,Legendas em inglês e português,Online,,,,,54b97d7769702d65e2930600
Occupy Mars: History of robotic red planet missions,http://www.space.com/16575-mars-exploration-robot-red-planet-missions-infographic.html,A história das missões com robôs no planeta vermelho.,,"EF07LI15, EF07LI10, EF07LI07, EF07LI06",,Lingua inglesa,,,,,inglês,Acessível para baixa visão,Online,,,,,54b97d7e69702d65e29d0600
Brazil: a culture of it’s own,http://zunal.com/webquest.php?w=56794,"Como um estrangeiro que não conhece bem o Brasil, usuário é convidado a descobrir a cultura e os aspectos sociais do país para avançar na webgincana.",,"EF09LI08, EF08LI05, EF08LI08, EF08LI10",,Lingua inglesa,,,,,inglês,,Online,,,,,54b97d8169702d65e2a20600
The world in active nuclear weapons,http://www.guardian.co.uk/news/datablog/2009/apr/06/north-korea-nuclear-weapons#,"Qual país tem o maior número de armas nucleares? Quantos mísseis poderia o lançamento nos EUA? Quantas bombas a Rússia tem? Neste infográfico, respostas para estas perguntas.",,"EF06LI08, EF06LI09, EF07LI10",,Lingua inglesa,,,,,inglês,,Online,,,,,54b97d8969702d65e2ab0600
A journey to the centre of the Earth,http://www.gutenberg.org/ebooks/18857,"""Project Gutenberg"" oferece gratuitamente mais de 57.000 ebooks que podem ser lidos online ou baixados em versão PDF ou para kindle. No clássico ""Uma viagem ao centro da Terra"", de Julio Verne, um professor universitário e seu sobrinho embarcam em uma aventura rumo ao desconhecido centro da terra. A narrativa combina ciência e liberdade criativa. ",A journey to the centre of the earth; Julio Verne; literature; ebooks,"EF08LI06, EF08LI07, EF08LI08",ebook,Lingua inglesa,,,,domínio público,inglês,,Online/Offline (download),,Projeto Gutenberg,,,54b97d9369702d65e2ba0600
